"Commodity","DATE","Price"
"Aluminum",2012-01-01,2151.33333333333
"Aluminum",2012-02-01,2207.91666666667
"Aluminum",2012-03-01,2184.15909090909
"Aluminum",2012-04-01,2048.50526315789
"Aluminum",2012-05-01,2002.52272727273
"Aluminum",2012-06-01,1885.51315789474
"Aluminum",2012-07-01,1876.25
"Aluminum",2012-08-01,1843.32727272727
"Aluminum",2012-09-01,2064.12
"Aluminum",2012-10-01,1974.30434782609
"Aluminum",2012-11-01,1948.82954545455
"Aluminum",2012-12-01,2086.76315789474
"Aluminum",2013-01-01,2037.60681818182
"Aluminum",2013-02-01,2053.595
"Aluminum",2013-03-01,1911.2825
"Aluminum",2013-04-01,1861.02380952381
"Aluminum",2013-05-01,1832.57142857143
"Aluminum",2013-06-01,1814.5375
"Aluminum",2013-07-01,1769.60869565217
"Aluminum",2013-08-01,1816.23571428571
"Aluminum",2013-09-01,1761.30476190476
"Aluminum",2013-10-01,1814.58260869565
"Aluminum",2013-11-01,1747.96428571429
"Aluminum",2013-12-01,1739.81
"Aluminum",2014-01-01,1727.41136363636
"Aluminum",2014-02-01,1695.165
"Aluminum",2014-03-01,1705.36666666667
"Aluminum",2014-04-01,1810.675
"Aluminum",2014-05-01,1751.05
"Aluminum",2014-06-01,1838.95238095238
"Aluminum",2014-07-01,1948.30434782609
"Aluminum",2014-08-01,2030.4925
"Aluminum",2014-09-01,1990.43181818182
"Aluminum",2014-10-01,1946.18913043478
"Aluminum",2014-11-01,2055.555
"Aluminum",2014-12-01,1909.45952380952
"Aluminum",2015-01-01,1814.71904761905
"Aluminum",2015-02-01,1817.82
"Aluminum",2015-03-01,1773.86363636364
"Aluminum",2015-04-01,1819.1875
"Aluminum",2015-05-01,1804.03947368421
"Aluminum",2015-06-01,1687.72727272727
"Aluminum",2015-07-01,1639.5
"Aluminum",2015-08-01,1548.125
"Aluminum",2015-09-01,1589.60227272727
"Aluminum",2015-10-01,1516.48863636364
"Aluminum",2015-11-01,1467.89285714286
"Aluminum",2015-12-01,1497.20238095238
"Aluminum",2016-01-01,1481.1
"Aluminum",2016-02-01,1531.2619047619
"Aluminum",2016-03-01,1531.0119047619
"Aluminum",2016-04-01,1571.22619047619
"Aluminum",2016-05-01,1550.625
"Aluminum",2016-06-01,1593.50681818182
"Aluminum",2016-07-01,1629.04761904762
"Aluminum",2016-08-01,1639.28409090909
"Aluminum",2016-09-01,1592.36363636364
"Aluminum",2016-10-01,1665.90476190476
"Aluminum",2016-11-01,1737.11363636364
"Aluminum",2016-12-01,1727.7375
"Aluminum",2017-01-01,1791.2380952381
"Aluminum",2017-02-01,1860.75
"Aluminum",2017-03-01,1901.46739130435
"Aluminum",2017-04-01,1921.22222222222
"Aluminum",2017-05-01,1913.02380952381
"Aluminum",2017-06-01,1885.28636363636
"Aluminum",2017-07-01,1902.96428571429
"Aluminum",2017-08-01,2030.01136363636
