id,name,author,title,description,url,urlToImage,content,publishedAt
the-verge,The Verge,Andrew J. Hawkins,Redwood Materials will recycle stationary storage batteries as it expands its scope,Redwood Materials is recycling a 4MWh energy substation in Kauai as it expands the scope of batteries it processes. The company aims to grow beyond just EV and e-bike batteries into larger facilities.,https://www.theverge.com/2023/11/7/23949188/redwood-materials-stationary-storage-battery-recycle-kauai,https://cdn.vox-cdn.com/thumbor/hqCI-2cI_EHKDlbKBSSfFo8f8W4=/0x0:3840x2160/1200x628/filters:focal(1920x1080:1921x1081)/cdn.vox-cdn.com/uploads/chorus_asset/file/25062666/Anahola_KIUC.jpg,"Redwood Materials will recycle stationary storage batteries as it expands its scope
Redwood Materials will recycle stationary storage batteries as it expands its scope
 / The company is recycling b… [+3842 chars]",2023-11-07T14:00:00Z
ars-technica,Ars Technica,Jonathan M. Gitlin,A giant battery gives this new school bus a 300-mile range,The Type-D school bus uses a 387 kWh lithium iron phosphate battery.,https://arstechnica.com/cars/2023/10/this-electric-school-bus-has-a-range-of-up-to-300-miles/,https://cdn.arstechnica.net/wp-content/uploads/2023/10/GreenPower-Mega-BEAST--760x380.jpg,"Enlarge/ GreenPower has given its class-D electric school bus a big battery bump.
39 with 
On Tuesday morning, the West Virginia-based GreenPower Motor Company debuted its latest electric vehicle. … [+4366 chars]",2023-10-31T11:00:53Z
ars-technica,Ars Technica,Jonathan M. Gitlin,"A lithium mine for EV batteries is coming to Arkansas, says Exxon","With EV incentives tied to domestic battery content, US lithium mines are needed.",https://arstechnica.com/cars/2023/11/exxon-will-mine-lithium-for-electric-vehicle-batteries-in-arkansas/,https://cdn.arstechnica.net/wp-content/uploads/2023/11/GettyImages-520559120-760x380.jpg,"Enlarge/ These are piles of lithium harvested in Bolivia; Exxon's site in Arkansas will look almost entirely unlike this as it will use direct lithium extraction, not evaporation, to harvest the mine… [+1611 chars]",2023-11-13T18:59:10Z
business-insider,Business Insider,Tim Levin,Big Oil wants to become Big EV,"Heavyweights of the combustion-car era like Shell, Exxon Mobil, and BP could dominate the electric future.",https://www.businessinsider.com/big-oil-wants-to-become-big-electric-vehicle-charging-batteries-2023-11,https://i.insider.com/65451ccc36d588dc55ca51ee?width=1200&format=jpeg,"BP's EV charging arm has bought $100 million worth of Tesla Superchargers.BP
<ul><li>Big Oil companies have dreams of becoming Big EV. </li><li>Fossil fuel heavyweights are making investments in EV … [+2964 chars]",2023-11-03T16:37:44Z
time,Time,Siobhan Wagner / Bloomberg,Battery Recycler Among Winners of Prince William’s Earthshot Prize,A lithium-ion battery recycler and a program to end illegal fishing are among the winners of Prince William’s Earthshot Prize.,https://time.com/6332319/battery-recycler-prince-williams-earthshot-prize-winners/,https://api.time.com/wp-content/uploads/2023/11/prince-william-earthshot-prize-singapore-2023.jpg?quality=85,"A lithium-ion battery recycler and a program to end illegal fishing are among the winners of Prince Williams Earthshot Prize, which supports companies tackling the environmental crisis.
The five cha… [+2296 chars]",2023-11-07T14:41:00Z
abc-news,ABC News,KAREN MATTHEWS Associated Press,"After fatal fire, officials push retailers, delivery apps to do more in e-bike safety","New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scooter’s lithium ion battery killed three people",https://abcnews.go.com/US/wireStory/after-fire-kills-3-nyc-officials-retailers-delivery-104887415,https://i.abcnewsfe.com/a/d19c885d-b4ca-4f4d-8561-bb66c8bc3a2e/wirestory_c8b403a95d74f034ea46b64edd7774db_16x9.jpg?w=992,"NEW YORK -- New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scoot… [+3372 chars]",2023-11-14T20:30:35Z
business-insider,Business Insider,Lara O'Reilly,Former 'American Idol' star Jimmy Levy's backpack exploded into a 'ball of fire' just as his JetBlue flight was about to take off from JFK,Jimmy Levy said he was told a portable battery inside his bag had caught fire. Flight crew quickly doused the flames and the plane was evacuated.,https://www.businessinsider.com/former-american-idol-stars-backpack-explodes-on-jetblue-jfk-flight-2023-11,https://i.insider.com/65465ef63cc84b4dfafc978f?width=1200&format=jpeg,"Jimmy Levy appeared on the 2019 season of ""American Idol.""Eliza Morse/ABC via Getty Images
<ul>
<li>Former 'American Idol' star Jimmy Levy's bag caught fire while his JetBlue flight sat at the gate.… [+2937 chars]",2023-11-04T16:39:51Z
business-insider,Business Insider,Haley Tenore,Check out how different the inside of fake AirPods look compared to the real thing,"There are a lot of differences between real AirPods and knockoffs hidden below their white-plastic surfaces, and these CT scans reveal them.",https://www.businessinsider.com/difference-between-real-apple-airpods-vs-fake-counterfeit-knockoff-2023-11,https://i.insider.com/654e90983cc84b4dfa0066bf?width=1200&format=jpeg,"Your fake AirPods may be able to fool others at a glance, but Lumafield used a CT scanner to show what's really going on with counterfeits.Jon Bruner/Lumafield
<ul>
<li>There are some major differen… [+3413 chars]",2023-11-13T09:00:02Z
the-next-web,The Next Web,Siôn Geschwindt,This new EV supercharger on wheels recharges in just 6 minutes,"For UK battery startup NyoBolt, six seems to be the magic number. First, in June it showcased an EV that could be fully charged in just six minutes (a claimed record). And today it unveiled a new kind of supercharger that can also be recharged in — you guesse…",https://thenextweb.com/news/mobile-ev-supercharger,https://img-cdn.tnwcdn.com/image/tnw-blurple?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2023%2F11%2FNyobolt-Mobile-Charger-.jpg&signature=63576da26e6c5e7be48027ac4b226aea,"For UK battery startup NyoBolt, six seems to be the magic number. First, in June it showcased an EV that could be fully charged in just six minutes (a claimed record). And today it unveiled a new kin… [+3589 chars]",2023-11-16T13:37:46Z
business-insider,Business Insider,Jenny McGrath,"Why we don't have fusion power plants yet, and what it'll take to get clean, limitless energy to market",Trying to create a fusion reaction on Earth is tricky. Trying to control it and harness it in a power plant is harder. Experts explain why.,https://www.businessinsider.com/why-no-fusion-energy-power-plants-yet-how-2023-10,https://i.insider.com/6531858096f7540cd060d9a2?width=1200&format=jpeg,"The National Spherical Torus Experiment-Upgrade (NSTX-U) at the Princeton Plasma Physics Laboratory.Elle Starkman, PPPL
<ul>
<li>It's been almost 90 years since scientists made the first fusion reac… [+8038 chars]",2023-10-29T12:19:01Z
