"Entity","Code","Year","Lithium.production...kt"
"Argentina","ARG",1995,8
"Argentina","ARG",1996,8
"Argentina","ARG",1997,8
"Argentina","ARG",1998,1130
"Argentina","ARG",1999,200
"Argentina","ARG",2000,200
"Argentina","ARG",2001,200
"Argentina","ARG",2002,946
"Argentina","ARG",2003,960
"Argentina","ARG",2004,1970
"Argentina","ARG",2005,1980
"Argentina","ARG",2006,2900
"Argentina","ARG",2007,3000
"Argentina","ARG",2008,3170
"Argentina","ARG",2009,2220
"Argentina","ARG",2010,2950
"Argentina","ARG",2011,2950
"Argentina","ARG",2012,2700
"Argentina","ARG",2013,2500
"Argentina","ARG",2014,3200
"Argentina","ARG",2015,3600
"Argentina","ARG",2016,5800
"Argentina","ARG",2017,5700
"Argentina","ARG",2018,6400
"Argentina","ARG",2019,6300
"Argentina","ARG",2020,5900
"Argentina","ARG",2021,5966.9123
"Argentina","ARG",2022,6377.9364
"Australia","AUS",1995,2233.4814
"Australia","AUS",1996,3882.1356
"Australia","AUS",1997,1576.6063
"Australia","AUS",1998,1179.9951
"Australia","AUS",1999,1505.7013
"Australia","AUS",2000,1825.6938
"Australia","AUS",2001,2225.789
"Australia","AUS",2002,2204.2165
"Australia","AUS",2003,3500
"Australia","AUS",2004,3301.4052
"Australia","AUS",2005,4839.465
"Australia","AUS",2006,6190.2847
"Australia","AUS",2007,6836.29
"Australia","AUS",2008,6676.0015
"Australia","AUS",2009,5504.1165
"Australia","AUS",2010,8465.379
"Australia","AUS",2011,11700
"Australia","AUS",2012,12700
"Australia","AUS",2013,10117.35
"Australia","AUS",2014,12374.94
"Australia","AUS",2015,11928.996
"Australia","AUS",2016,14000
"Australia","AUS",2017,21300
"Australia","AUS",2018,57000
"Australia","AUS",2019,45000
"Australia","AUS",2020,39700
"Australia","AUS",2021,55300
"Australia","AUS",2022,61000
"Brazil","BRA",1995,32
"Brazil","BRA",1996,32
"Brazil","BRA",1997,32
"Brazil","BRA",1998,32
"Brazil","BRA",1999,32
"Brazil","BRA",2000,30
"Brazil","BRA",2001,220
"Brazil","BRA",2002,224
"Brazil","BRA",2003,240
"Brazil","BRA",2004,242
"Brazil","BRA",2005,242
"Brazil","BRA",2006,242
"Brazil","BRA",2007,180
"Brazil","BRA",2008,160
"Brazil","BRA",2009,160
"Brazil","BRA",2010,160
"Brazil","BRA",2011,320
"Brazil","BRA",2012,150
"Brazil","BRA",2013,400
"Brazil","BRA",2014,160
"Brazil","BRA",2015,147.69797
"Brazil","BRA",2016,224.93218
"Brazil","BRA",2017,269.46384
"Brazil","BRA",2018,1047.5034
"Brazil","BRA",2019,2171.6533
"Brazil","BRA",2020,1420
"Brazil","BRA",2021,1700
"Brazil","BRA",2022,2200
"Chile","CHL",1995,2000
"Chile","CHL",1996,2663.6677
"Chile","CHL",1997,4554.5335
"Chile","CHL",1998,5462.649
"Chile","CHL",1999,5705.1554
"Chile","CHL",2000,6737.877
"Chile","CHL",2001,5883.362
"Chile","CHL",2002,6620.0967
"Chile","CHL",2003,7827.0125
"Chile","CHL",2004,8340.689
"Chile","CHL",2005,8205.998
"Chile","CHL",2006,8877.119
"Chile","CHL",2007,10320.197
"Chile","CHL",2008,9818.884
"Chile","CHL",2009,5117.53
"Chile","CHL",2010,8879.805
"Chile","CHL",2011,11890.828
"Chile","CHL",2012,12325.488
"Chile","CHL",2013,10505.053
"Chile","CHL",2014,10834.172
"Chile","CHL",2015,9809.592
