"DATE","Value"
2002-01-01,440684795
2002-02-01,424375541
2002-03-01,451262016
2002-04-01,449206147
2002-05-01,451919744
2002-06-01,402466426
2002-07-01,417060318
2002-08-01,422178967
2002-09-01,447764081
2002-10-01,459365825
2002-11-01,424857909
2002-12-01,407966991
2003-01-01,427892255
2003-02-01,413337366
2003-03-01,461363973
2003-04-01,441210442
2003-05-01,441483732
2003-06-01,403772604
2003-07-01,417971247
2003-08-01,420283855
2003-09-01,425705245
2003-10-01,456321749
2003-11-01,388221944
2003-12-01,410628186
2004-01-01,419667252
2004-02-01,420793573
2004-03-01,475311761
2004-04-01,444679607
2004-05-01,441435012
2004-06-01,422748402
2004-07-01,414688912
2004-08-01,429293421
2004-09-01,450395524
2004-10-01,469364500
2004-11-01,440606426
2004-12-01,441690457
2005-01-01,428070638
2005-02-01,415132139
2005-03-01,487237827
2005-04-01,456700494
2005-05-01,468479051
2005-06-01,437809870
2005-07-01,435300912
2005-08-01,455393138
2005-09-01,476242395
2005-10-01,488358041
2005-11-01,450366128
2005-12-01,423277530
2006-01-01,450913165
2006-02-01,424743521
2006-03-01,497035560
2006-04-01,438338279
2006-05-01,471140048
2006-06-01,461729625
2006-07-01,429081570
2006-08-01,459293293
2006-09-01,472208218
2006-10-01,498463104
2006-11-01,450172177
2006-12-01,438204718
2007-01-01,446464623
2007-02-01,422727216
2007-03-01,484813235
2007-04-01,451493180
2007-05-01,479631026
2007-06-01,448918421
2007-07-01,432948408
2007-08-01,466312347
2007-09-01,468583070
2007-10-01,504971643
2007-11-01,467761950
2007-12-01,420531405
2008-01-01,455112960
2008-02-01,448262133
2008-03-01,472171246
2008-04-01,485390371
2008-05-01,487849952
2008-06-01,466431544
2008-07-01,478594923
2008-08-01,472788085
2008-09-01,502256002
2008-10-01,529758947
2008-11-01,453793381
2008-12-01,441667687
2009-01-01,443682932
2009-02-01,440543826
2009-03-01,482565040
2009-04-01,468652518
2009-05-01,457788452
2009-06-01,444917682
2009-07-01,445181443
2009-08-01,442082234
2009-09-01,472523109
2009-10-01,491830502
2009-11-01,442497265
2009-12-01,426617296
2010-01-01,424045170
2010-02-01,412515433
2010-03-01,484830197
2010-04-01,464360183
2010-05-01,449255990
2010-06-01,442790658
2010-07-01,426015607
2010-08-01,441980458
2010-09-01,465230833
2010-10-01,476808524
2010-11-01,448963782
2010-12-01,417163900
2011-01-01,423090210
2011-02-01,417532275
2011-03-01,485827509
2011-04-01,458208602
2011-05-01,458656982
2011-06-01,447187942
2011-07-01,420363627
2011-08-01,450940643
2011-09-01,475557860
2011-10-01,485420065
2011-11-01,455566232
2011-12-01,435655889
2012-01-01,442176361
2012-02-01,453651466
2012-03-01,481874359
2012-04-01,456474522
2012-05-01,468189131
2012-06-01,434180966
2012-07-01,426773639
2012-08-01,461036746
2012-09-01,459569526
2012-10-01,499213907
2012-11-01,457671452
2012-12-01,420002251
2013-01-01,448734100
2013-02-01,431466880
2013-03-01,460085375
2013-04-01,474321598
2013-05-01,468840728
2013-06-01,423277189
2013-07-01,436944831
2013-08-01,452661058
2013-09-01,466151416
2013-10-01,505801973
2013-11-01,441849515
2013-12-01,421296376
2014-01-01,426452089
2014-02-01,416232792
2014-03-01,462009364
2014-04-01,467059115
2014-05-01,462582683
2014-06-01,430824651
2014-07-01,437754640
2014-08-01,440618937
2014-09-01,476474777
2014-10-01,506193702
2014-11-01,426288417
2014-12-01,432048696
2015-01-01,419917467
2015-02-01,404308806
2015-03-01,460191920
2015-04-01,456010527
2015-05-01,438556637
2015-06-01,429037709
2015-07-01,428558169
2015-08-01,426863159
2015-09-01,456403696
2015-10-01,477999431
2015-11-01,423838955
2015-12-01,419991648
2016-01-01,399154882
2016-02-01,420709817
2016-03-01,453068726
2016-04-01,433969128
2016-05-01,427007045
2016-06-01,412421155
2016-07-01,388297210
2016-08-01,423923650
2016-09-01,440974907
2016-10-01,441163318
2016-11-01,411904244
2016-12-01,388800564
2017-01-01,391523283
2017-02-01,385263209
2017-03-01,429423017
2017-04-01,400576672
2017-05-01,419063740
2017-06-01,395145835
2017-07-01,372585789
2017-08-01,405665976
2017-09-01,409421644
2017-10-01,438407889
2017-11-01,403298765
2017-12-01,369344777
2018-01-01,382341405
2018-02-01,376589683
2018-03-01,406401905
2018-04-01,404910185
2018-05-01,413385616
2018-06-01,384791799
2018-07-01,373929217
2018-08-01,405645440
2018-09-01,397027830
2018-10-01,450935900
2018-11-01,393984299
2018-12-01,368217855
2019-01-01,380171161
2019-02-01,366177109
2019-03-01,402931247
2019-04-01,410547199
2019-05-01,412863757
2019-06-01,373523045
2019-07-01,381546648
2019-08-01,396861938
2019-09-01,408226659
2019-10-01,439711794
2019-11-01,383364649
2019-12-01,363743071
