Back to Contents;Data 1: U.S. Field Production of Crude Oil (Thousand Barrels per Day)
Sourcekey;MCRFPUS2
Date;U.S. Field Production of Crude Oil (Thousand Barrels per Day)
15/01/1920;1097
15/02/1920;1145
15/03/1920;1167
15/04/1920;1165
15/05/1920;1181
15/06/1920;1222
15/07/1920;1218
15/08/1920;1255
15/09/1920;1251
15/10/1920;1277
15/11/1920;1287
15/12/1920;1257
15/01/1921;1230
15/02/1921;1269
15/03/1921;1326
15/04/1921;1341
15/05/1921;1361
15/06/1921;1352
15/07/1921;1305
15/08/1921;1326
15/09/1921;1225
15/10/1921;1156
15/11/1921;1270
15/12/1921;1360
15/01/1922;1410
15/02/1922;1476
15/03/1922;1522
15/04/1922;1506
15/05/1922;1516
15/06/1922;1536
15/07/1922;1520
15/08/1922;1518
15/09/1922;1527
15/10/1922;1562
15/11/1922;1601
15/12/1922;1634
15/01/1923;1694
15/02/1923;1735
15/03/1923;1838
15/04/1923;1967
15/05/1923;2012
15/06/1923;2095
15/07/1923;2127
15/08/1923;2143
15/09/1923;2177
15/10/1923;2178
15/11/1923;2180
15/12/1923;1921
15/01/1924;1848
15/02/1924;1927
15/03/1924;1940
15/04/1924;1994
15/05/1924;1995
15/06/1924;1986
15/07/1924;1998
15/08/1924;2013
15/09/1924;2013
15/10/1924;1951
15/11/1924;1893
15/12/1924;1853
15/01/1925;1736
15/02/1925;1735
15/03/1925;1729
15/04/1925;1730
15/05/1925;1722
15/06/1925;1731
15/07/1925;1682
15/08/1925;1684
15/09/1925;1719
15/10/1925;1670
15/11/1925;1664
15/12/1925;1601
15/01/1926;1935
15/02/1926;1960
15/03/1926;1964
15/04/1926;2012
15/05/1926;2027
15/06/1926;2060
15/07/1926;2102
15/08/1926;2162
15/09/1926;2193
15/10/1926;2247
15/11/1926;2330
15/12/1926;2343
15/01/1927;2315
15/02/1927;2433
15/03/1927;2436
15/04/1927;2438
15/05/1927;2479
15/06/1927;2510
15/07/1927;2541
15/08/1927;2542
15/09/1927;2530
15/10/1927;2501
15/11/1927;2483
15/12/1927;2418
15/01/1928;2348
15/02/1928;2364
15/03/1928;2404
15/04/1928;2413
15/05/1928;2428
15/06/1928;2423
15/07/1928;2438
15/08/1928;2510
15/09/1928;2549
15/10/1928;2573
15/11/1928;2537
15/12/1928;2564
15/01/1929;2647
15/02/1929;2695
15/03/1929;2660
15/04/1929;2680
15/05/1929;2726
15/06/1929;2780
15/07/1929;2945
15/08/1929;2973
15/09/1929;2915
15/10/1929;2853
15/11/1929;2625
15/12/1929;2610
15/01/1930;2569
15/02/1930;2653
15/03/1930;2523
15/04/1930;2583
15/05/1930;2598
15/06/1930;2569
15/07/1930;2481
15/08/1930;2414
15/09/1930;2374
15/10/1930;2351
15/11/1930;2265
15/12/1930;2160
15/01/1931;2121
15/02/1931;2162
15/03/1931;2240
15/04/1931;2429
15/05/1931;2478
15/06/1931;2500
15/07/1931;2523
15/08/1931;2194
15/09/1931;2146
15/10/1931;2364
15/11/1931;2449
15/12/1931;2365
15/01/1932;2162
15/02/1932;2156
15/03/1932;2176
15/04/1932;2264
15/05/1932;2221
15/06/1932;2171
15/07/1932;2150
15/08/1932;2147
15/09/1932;2184
15/10/1932;2116
15/11/1932;2121
15/12/1932;1880
15/01/1933;2102
15/02/1933;2188
15/03/1933;2425
15/04/1933;2190
15/05/1933;2795
15/06/1933;2813
15/07/1933;2752
15/08/1933;2758
15/09/1933;2611
15/10/1933;2454
15/11/1933;2332
15/12/1933;2328
15/01/1934;2323
15/02/1934;2335
15/03/1934;2433
15/04/1934;2522
15/05/1934;2580
15/06/1934;2655
15/07/1934;2624
15/08/1934;2552
15/09/1934;2525
15/10/1934;2471
15/11/1934;2413
15/12/1934;2413
15/01/1935;2539
15/02/1935;2599
15/03/1935;2629
15/04/1935;2614
15/05/1935;2660
15/06/1935;2745
15/07/1935;2758
15/08/1935;2736
15/09/1935;2804
15/10/1935;2844
15/11/1935;2883
15/12/1935;2862
15/01/1936;2865
15/02/1936;2832
15/03/1936;2922
15/04/1936;3016
15/05/1936;3024
15/06/1936;3006
15/07/1936;2970
15/08/1936;3067
15/09/1936;3032
15/10/1936;3090
15/11/1936;3034
15/12/1936;3150
15/01/1937;3180
15/02/1937;3328
15/03/1937;3443
15/04/1937;3499
15/05/1937;3578
15/06/1937;3527
15/07/1937;3572
15/08/1937;3713
15/09/1937;3666
15/10/1937;3578
15/11/1937;3474
15/12/1937;3438
15/01/1938;3420
15/02/1938;3381
15/03/1938;3436
15/04/1938;3423
15/05/1938;3183
15/06/1938;3143
15/07/1938;3319
15/08/1938;3425
15/09/1938;3289
15/10/1938;3285
15/11/1938;3286
15/12/1938;3300
15/01/1939;3306
15/02/1939;3338
15/03/1939;3444
15/04/1939;3517
15/05/1939;3566
15/06/1939;3487
15/07/1939;3579
15/08/1939;2609
15/09/1939;3606
15/10/1939;3684
15/11/1939;3730
15/12/1939;3704
15/01/1940;3782
15/02/1940;3738
15/03/1940;3921
15/04/1940;3967
15/05/1940;3995
15/06/1940;3977
15/07/1940;4113
15/08/1940;4214
15/09/1940;4347
15/10/1940;4403
15/11/1940;4455
15/12/1940;4360
15/01/1941;3569
15/02/1941;3600
15/03/1941;3639
15/04/1941;3703
15/05/1941;3773
15/06/1941;3834
15/07/1941;3815
15/08/1941;3915
15/09/1941;3982
15/10/1941;4069
15/11/1941;4112
15/12/1941;4138
15/01/1942;4137
15/02/1942;4070
15/03/1942;3693
15/04/1942;3502
15/05/1942;3555
15/06/1942;3620
15/07/1942;3606
15/08/1942;3885
15/09/1942;3860
15/10/1942;3881
15/11/1942;3870
15/12/1942;3888
15/01/1943;3786
15/02/1943;3875
15/03/1943;3924
15/04/1943;3970
15/05/1943;3999
15/06/1943;4004
15/07/1943;4117
15/08/1943;4219
15/09/1943;4352
15/10/1943;4414
15/11/1943;4461
15/12/1943;4364
15/01/1944;4377
15/02/1944;4443
15/03/1944;4413
15/04/1944;4453
15/05/1944;4554
15/06/1944;4575
15/07/1944;4563
15/08/1944;4691
15/09/1944;4766
15/10/1944;4739
15/11/1944;4749
15/12/1944;4688
15/01/1945;4756
15/02/1945;4767
15/03/1945;4804
15/04/1945;4807
15/05/1945;4877
15/06/1945;4859
15/07/1945;4897
15/08/1945;4877
15/09/1945;4423
15/10/1945;4284
15/11/1945;4517
15/12/1945;4472
15/01/1946;4625
15/02/1946;4719
15/03/1946;4414
15/04/1946;4673
15/05/1946;4785
15/06/1946;4896
15/07/1946;4922
15/08/1946;4836
15/09/1946;4790
15/10/1946;4785
15/11/1946;4822
15/12/1946;4725
15/01/1947;4672
15/02/1947;4811
15/03/1947;4909
15/04/1947;4980
15/05/1947;5034
15/06/1947;5102
15/07/1947;5141
15/08/1947;5176
15/09/1947;5256
15/10/1947;5324
15/11/1947;5290
15/12/1947;5340
15/01/1948;5293
15/02/1948;5365
15/03/1948;5415
15/04/1948;5491
15/05/1948;5507
15/06/1948;5548
15/07/1948;5528
15/08/1948;5581
15/09/1948;5441
15/10/1948;5644
15/11/1948;5693
15/12/1948;5722
15/01/1949;5388
15/02/1949;5382
15/03/1949;5239
15/04/1949;5011
