"DATE","Value"
2005-01-01,22840.2
2005-04-01,23234.7
2005-07-01,23735.6
2005-10-01,24248.5
2006-01-01,24594.2
2006-04-01,24834.5
2006-07-01,25047.8
2006-10-01,25222.1
2007-01-01,25625.8
2007-04-01,26122.3
2007-07-01,26380.9
2007-10-01,26851.2
2008-01-01,27033.4
2008-04-01,27583.6
2008-07-01,27486.6
2008-10-01,25990.5
2009-01-01,24857.4
2009-04-01,24690.1
2009-07-01,24937.5
2009-10-01,25333.5
2010-01-01,25834.7
2010-04-01,26296.8
2010-07-01,26665.9
2010-10-01,27105.4
2011-01-01,27565.7
2011-04-01,28002.9
2011-07-01,28221.6
2011-10-01,28393.4
2012-01-01,28980.3
2012-04-01,29011.9
2012-07-01,29207.7
2012-10-01,29691.4
2013-01-01,29899.4
2013-04-01,30194.9
2013-07-01,30461
2013-10-01,30845.1
2014-01-01,31204.9
2014-04-01,31686.9
2014-07-01,32007.6
2014-10-01,32126.3
2015-01-01,31895.8
2015-04-01,32231.7
2015-07-01,32361.4
2015-10-01,32243.4
2016-01-01,32255.6
2016-04-01,32673.9
2016-07-01,33050.5
2016-10-01,33440.2
2017-01-01,33911.5
2017-04-01,34126
2017-07-01,34402.5
2017-10-01,35128.4
2018-01-01,35715.6
2018-04-01,36369.8
2018-07-01,36821.6
2018-10-01,37051.1
2019-01-01,37195
2019-04-01,37686.5
2019-07-01,37968.9
2019-10-01,37988.4
2020-01-01,37584.4
2020-04-01,34056.5
2020-07-01,36755.8
2020-10-01,37851.3
2021-01-01,39371.3
2021-04-01,40874.4
2021-07-01,42080.3
2021-10-01,43293
2022-01-01,44579.4
2022-04-01,45972.9
2022-07-01,46562.9
2022-10-01,46736.2
