"Country","Code","Year","Oil_production_TWh"
"Brazil","BRA",1900,0
"Brazil","BRA",1901,0
"Brazil","BRA",1902,0
"Brazil","BRA",1903,0
"Brazil","BRA",1904,0
"Brazil","BRA",1905,0
"Brazil","BRA",1906,0
"Brazil","BRA",1907,0
"Brazil","BRA",1908,0
"Brazil","BRA",1909,0
"Brazil","BRA",1910,0
"Brazil","BRA",1911,0
"Brazil","BRA",1912,0
"Brazil","BRA",1913,0
"Brazil","BRA",1914,0
"Brazil","BRA",1915,0
"Brazil","BRA",1916,0
"Brazil","BRA",1917,0
"Brazil","BRA",1918,0
"Brazil","BRA",1919,0
"Brazil","BRA",1920,0
"Brazil","BRA",1921,0
"Brazil","BRA",1922,0
"Brazil","BRA",1923,0
"Brazil","BRA",1924,0
"Brazil","BRA",1925,0
"Brazil","BRA",1926,0
"Brazil","BRA",1927,0
"Brazil","BRA",1928,0
"Brazil","BRA",1929,0
"Brazil","BRA",1930,0
"Brazil","BRA",1931,0
"Brazil","BRA",1932,0
"Brazil","BRA",1933,0
"Brazil","BRA",1934,0
"Brazil","BRA",1935,0
"Brazil","BRA",1936,0
"Brazil","BRA",1937,0
"Brazil","BRA",1938,0
"Brazil","BRA",1939,0
"Brazil","BRA",1940,0
"Brazil","BRA",1941,0
"Brazil","BRA",1942,0.04652
"Brazil","BRA",1943,0.06978
"Brazil","BRA",1944,0.09304
"Brazil","BRA",1945,0.1163
"Brazil","BRA",1946,0.10467
"Brazil","BRA",1947,0.15119
"Brazil","BRA",1948,0.22097
"Brazil","BRA",1949,0.16282
"Brazil","BRA",1950,0.51172
"Brazil","BRA",1951,1.0467
"Brazil","BRA",1952,1.13974
"Brazil","BRA",1953,1.38397
"Brazil","BRA",1954,1.50027
"Brazil","BRA",1955,3.07032
"Brazil","BRA",1956,6.17553
"Brazil","BRA",1957,15.36323
"Brazil","BRA",1958,28.76099
"Brazil","BRA",1959,35.85529
"Brazil","BRA",1960,45.0081
"Brazil","BRA",1961,52.90487
"Brazil","BRA",1962,50.78821
"Brazil","BRA",1963,54.30047
"Brazil","BRA",1964,50.62539
"Brazil","BRA",1965,58.675575
"Brazil","BRA",1966,71.632545
"Brazil","BRA",1967,90.1425
"Brazil","BRA",1968,99.05112
"Brazil","BRA",1969,108.03546
"Brazil","BRA",1970,102.25953
"Brazil","BRA",1971,107.041916
"Brazil","BRA",1972,104.99714
"Brazil","BRA",1973,106.482506
"Brazil","BRA",1974,111.1111
"Brazil","BRA",1975,108.2866
"Brazil","BRA",1976,105.45653
"Brazil","BRA",1977,101.61979
"Brazil","BRA",1978,101.04517
"Brazil","BRA",1979,104.676834
"Brazil","BRA",1980,114.915504
"Brazil","BRA",1981,134.21123
"Brazil","BRA",1982,163.54337
"Brazil","BRA",1983,207.35083
"Brazil","BRA",1984,290.23807
"Brazil","BRA",1985,342.74146
"Brazil","BRA",1986,360.37137
"Brazil","BRA",1987,358.51154
"Brazil","BRA",1988,350.34323
"Brazil","BRA",1989,374.16556
"Brazil","BRA",1990,396.90588
"Brazil","BRA",1991,392.28058
"Brazil","BRA",1992,398.22037
"Brazil","BRA",1993,406.4251
"Brazil","BRA",1994,421.4718
"Brazil","BRA",1995,436.17145
"Brazil","BRA",1996,494.66245
"Brazil","BRA",1997,530.28345
"Brazil","BRA",1998,612.65924
"Brazil","BRA",1999,691.94525
"Brazil","BRA",2000,780.2455
"Brazil","BRA",2001,816.74133
"Brazil","BRA",2002,914.1956
"Brazil","BRA",2003,948.01917
"Brazil","BRA",2004,940.91486
"Brazil","BRA",2005,1034.8539
"Brazil","BRA",2006,1093.6329
"Brazil","BRA",2007,1109.1145
"Brazil","BRA",2008,1152.7557
"Brazil","BRA",2009,1232.6158
"Brazil","BRA",2010,1298.3738
"Brazil","BRA",2011,1326.1354
"Brazil","BRA",2012,1306.8228
"Brazil","BRA",2013,1281.0779
"Brazil","BRA",2014,1424.1478
"Brazil","BRA",2015,1537.4033
"Brazil","BRA",2016,1589.9032
"Brazil","BRA",2017,1658.9243
"Brazil","BRA",2018,1635.2148
"Brazil","BRA",2019,1758.4464
"Brazil","BRA",2020,1853.1815
"Brazil","BRA",2021,1824.239
"Brazil","BRA",2022,1896.3617
"Canada","CAN",1900,1.41886
"Canada","CAN",1901,1.17463
"Canada","CAN",1902,0.82573
"Canada","CAN",1903,0.75595
"Canada","CAN",1904,0.86062
"Canada","CAN",1905,0.98855
"Canada","CAN",1906,0.88388
"Canada","CAN",1907,1.22115
