"Date","Production"
1920-02-15,1145
1920-03-15,1167
1920-04-15,1165
1920-05-15,1181
1920-06-15,1222
1920-07-15,1218
1920-08-15,1255
1920-09-15,1251
1920-10-15,1277
1920-11-15,1287
1920-12-15,1257
1921-01-15,1230
1921-02-15,1269
1921-03-15,1326
1921-04-15,1341
1921-05-15,1361
1921-06-15,1352
1921-07-15,1305
1921-08-15,1326
1921-09-15,1225
1921-10-15,1156
1921-11-15,1270
1921-12-15,1360
1922-01-15,1410
1922-02-15,1476
1922-03-15,1522
1922-04-15,1506
1922-05-15,1516
1922-06-15,1536
1922-07-15,1520
1922-08-15,1518
1922-09-15,1527
1922-10-15,1562
1922-11-15,1601
1922-12-15,1634
1923-01-15,1694
1923-02-15,1735
1923-03-15,1838
1923-04-15,1967
1923-05-15,2012
1923-06-15,2095
1923-07-15,2127
1923-08-15,2143
1923-09-15,2177
1923-10-15,2178
1923-11-15,2180
1923-12-15,1921
1924-01-15,1848
1924-02-15,1927
1924-03-15,1940
1924-04-15,1994
1924-05-15,1995
1924-06-15,1986
1924-07-15,1998
1924-08-15,2013
1924-09-15,2013
1924-10-15,1951
1924-11-15,1893
1924-12-15,1853
1925-01-15,1736
1925-02-15,1735
1925-03-15,1729
1925-04-15,1730
1925-05-15,1722
1925-06-15,1731
1925-07-15,1682
1925-08-15,1684
1925-09-15,1719
1925-10-15,1670
1925-11-15,1664
1925-12-15,1601
1926-01-15,1935
1926-02-15,1960
1926-03-15,1964
1926-04-15,2012
1926-05-15,2027
1926-06-15,2060
1926-07-15,2102
1926-08-15,2162
1926-09-15,2193
1926-10-15,2247
1926-11-15,2330
1926-12-15,2343
1927-01-15,2315
1927-02-15,2433
1927-03-15,2436
1927-04-15,2438
1927-05-15,2479
1927-06-15,2510
1927-07-15,2541
1927-08-15,2542
1927-09-15,2530
1927-10-15,2501
1927-11-15,2483
1927-12-15,2418
1928-01-15,2348
1928-02-15,2364
1928-03-15,2404
1928-04-15,2413
1928-05-15,2428
1928-06-15,2423
1928-07-15,2438
1928-08-15,2510
1928-09-15,2549
1928-10-15,2573
1928-11-15,2537
1928-12-15,2564
1929-01-15,2647
